module,priority,title,kind,method,route,source,usedBy
students,core,Student Log Update,command,POST,/student-log-update,/admin/student_log_update,/student-log-update
students,core,Ajax Delete,command,DELETE,/student/ajax-delete,/student/ajax_delete,/student/bulkdelete
students,core,Ajax Update,command,POST,/student/ajax-update,/student/ajax_update,/student/bulkupdate
students,core,Approve Optional Course,command,POST,/student/approve-optional-course,/student/approve_optional_course,/student/approve-optional-course
students,core,Assign Optional Course,command,POST,/student/assign-optional-course,/student/assign_optional_course,/student/assign-optional-course
students,core,Assign Seat Number,command,POST,/student/assign-seat-number,/student/assign_seat_number,/student/assign-seat-number
students,core,Assign Seat Studentlist,command,POST,/student/assign-seat-studentlist,/student/assign_seat_studentlist,/student/assign-seat-number
students,core,Bulkapprove Selected Students,command,POST,/student/bulkapprove-selected-students,/student/bulkapprove_selected_students,/student/approve-optional-course
students,core,Bulkdelete,command,DELETE,/student/bulkdelete,/student/bulkdelete,/student/bulkdelete
students,core,Bulkupdate,command,POST,/student/bulkupdate,/student/bulkupdate,/student/bulkupdate
students,core,Changeprofilesetting,query,POST,/student/changeprofilesetting,/student/changeprofilesetting,/student/profilesetting
students,core,Check Subject Exam Assignment,command,POST,/student/check-subject-exam-assignment,/student/check_subject_exam_assignment,/student/assign-optional-course
students,core,Disablestudentslist,query,GET,/student/disablestudentslist,/student/disablestudentslist,/student/disablestudentslist
students,core,Dtstudentlist,query,GET,/student/dtstudentlist,/student/dtstudentlist,/report/inward-report
students,core,Get By Class And Section,query,GET,/student/get-by-class-and-section,/student/getByClassAndSection,/others-fees-verification /student/create
students,core,Get Bycategory,query,GET,/student/get-bycategory,/student/getBycategory,/student/bulkupdate
students,core,Get Groupsubjects,query,GET,/student/get-groupsubjects,/student/getGroupsubjects,/student/semester-allocation
students,core,Get Max Roll Number,query,GET,/student/get-max-roll-number,/student/getMaxRollNumber,/student/generaterollnumber
students,core,Get Student Record By ID,query,GET,/student/get-student-record-by-id,/student/getStudentRecordByID,/student/create
students,core,Get Updated Data,command,POST,/student/get-updated-data,/student/get_updatedData,/student/bulkupdate
students,core,Getexamseatnocount,query,GET,/student/getexamseatnocount,/student/getexamseatnocount,/student/assign-seat-number
students,core,Save Approve Subject Request,command,POST,/student/save-approve-subject-request,/student/save_approveSubject_request,/student/approve-optional-course
students,core,Save Row Data,command,POST,/student/save-row-data,/student/save_row_data,/student/bulkupdate
students,core,Save Row Data Student,command,POST,/student/save-row-data-student,/student/save_row_data_student,/student/bulkupdate
students,core,Save Updated Data,command,POST,/student/save-updated-data,/student/save_updatedData,/student/bulkupdate
students,core,Searchvalidation,query,GET,/student/searchvalidation,/student/searchvalidation,/student/search
students,core,Sendbulkmail,query,POST,/student/sendbulkmail,/student/sendbulkmail,/student/bulkmail
students,core,Student Document Verify,query,POST,/student/student-document-verify,/student/student_document_verify,/student/search
fees,core,Assign Variable Fees,command,POST,/assign-variable-fees,/admin/assign_variable_fees,/assign-variable-fees
fees,core,Addfeegroup Classwise,command,POST,/assign-variable-fees/addfeegroup-classwise,/admin/assign_variable_fees/addfeegroupClasswise,/assign-variable-fees
fees,core,Upload,command,POST,/fee-receipt-import/upload,/admin/fee_receipt_import/upload,/fee-receipt-import
fees,core,Get By Feecategory,query,GET,/feemaster/get-by-feecategory,/feemaster/getByFeecategory,/paymentcategory/assign-payment-category /stdtransfer /teacher/assign-class-teacher
fees,core,Get Specialization,query,GET,/feemaster/get-specialization,/admin/feemaster/getSpecialization,/feemaster
fees,core,Get Fee Details,query,GET,/feemastercoursewise/get-fee-details,/admin/feemastercoursewise/getFeeDetails,/feemastercoursewise
fees,core,Get Specialization By Class Sections,query,GET,/feemastercoursewise/get-specialization-by-class-sections,/admin/feemastercoursewise/getSpecializationByClassSections,/feemastercoursewise
fees,core,Getclasssectionwisesubjects,query,GET,/feemastercoursewise/getclasssectionwisesubjects,/admin/feemastercoursewise/getclasssectionwisesubjects,/feemastercoursewise
fees,core,Save,command,POST,/feemastercoursewise/save,/admin/feemastercoursewise/save,/feemastercoursewise
fees,core,Create,command,POST,/fine-rules/create,/admin/fine_rules/create,/fine-rules
fees,core,Getlist,query,GET,/offlinepayment/getlist,/admin/offlinepayment/getlist,/offlinepayment
fees,core,Getpayment,query,GET,/offlinepayment/getpayment,/admin/offlinepayment/getpayment,/offlinepayment
fees,core,Assign Payment Category,command,POST,/paymentcategory/assign-payment-category,/admin/paymentcategory/assignPaymentCategory,/paymentcategory/assign-payment-category
fees,core,Billdesk,query,POST,/paymentsettings/billdesk,/admin/paymentsettings/billdesk,/paymentsettings
fees,core,Billplz,query,POST,/paymentsettings/billplz,/admin/paymentsettings/billplz,/paymentsettings
fees,core,Cashfree,query,POST,/paymentsettings/cashfree,/admin/paymentsettings/cashfree,/paymentsettings
fees,core,Ccavenue,query,POST,/paymentsettings/ccavenue,/admin/paymentsettings/ccavenue,/paymentsettings
fees,core,Easebuzz,query,POST,/paymentsettings/easebuzz,/admin/paymentsettings/easebuzz,/paymentsettings
fees,core,Flutterwave,query,POST,/paymentsettings/flutterwave,/admin/paymentsettings/flutterwave,/paymentsettings
fees,core,Instamojo,query,POST,/paymentsettings/instamojo,/admin/paymentsettings/instamojo,/paymentsettings
fees,core,Ipayafrica,query,POST,/paymentsettings/ipayafrica,/admin/paymentsettings/ipayafrica,/paymentsettings
fees,core,Jazzcash,query,POST,/paymentsettings/jazzcash,/admin/paymentsettings/jazzcash,/paymentsettings
fees,core,Midtrans,query,POST,/paymentsettings/midtrans,/admin/paymentsettings/midtrans,/paymentsettings
fees,core,Mollie,query,POST,/paymentsettings/mollie,/admin/paymentsettings/mollie,/paymentsettings
fees,core,Mponline,query,POST,/paymentsettings/mponline,/admin/paymentsettings/mponline,/paymentsettings
fees,core,Onepay,query,POST,/paymentsettings/onepay,/admin/paymentsettings/onepay,/paymentsettings
fees,core,Payfast,query,POST,/paymentsettings/payfast,/admin/paymentsettings/payfast,/paymentsettings
fees,core,Payhere,query,POST,/paymentsettings/payhere,/admin/paymentsettings/payhere,/paymentsettings
fees,core,Paypal,query,POST,/paymentsettings/paypal,/admin/paymentsettings/paypal,/paymentsettings
fees,core,Paystack,query,POST,/paymentsettings/paystack,/admin/paymentsettings/paystack,/paymentsettings
fees,core,Paytm,query,POST,/paymentsettings/paytm,/admin/paymentsettings/paytm,/paymentsettings
fees,core,Payu,query,POST,/paymentsettings/payu,/admin/paymentsettings/payu,/paymentsettings
fees,core,Pesapal,query,POST,/paymentsettings/pesapal,/admin/paymentsettings/pesapal,/paymentsettings
fees,core,Razorpay,query,POST,/paymentsettings/razorpay,/admin/paymentsettings/razorpay,/paymentsettings
fees,core,Setting,query,POST,/paymentsettings/setting,/admin/paymentsettings/setting,/paymentsettings
fees,core,Skrill,query,POST,/paymentsettings/skrill,/admin/paymentsettings/skrill,/paymentsettings
fees,core,Sslcommerz,query,POST,/paymentsettings/sslcommerz,/admin/paymentsettings/sslcommerz,/paymentsettings
fees,core,Stripe,query,POST,/paymentsettings/stripe,/admin/paymentsettings/stripe,/paymentsettings
fees,core,Toyyib Pay,query,POST,/paymentsettings/toyyib-pay,/admin/paymentsettings/toyyibPay,/paymentsettings
fees,core,Twocheckout,query,POST,/paymentsettings/twocheckout,/admin/paymentsettings/twocheckout,/paymentsettings
fees,core,Walkingm,query,POST,/paymentsettings/walkingm,/admin/paymentsettings/walkingm,/paymentsettings
fees,core,Ajax Search,query,POST,/studentfee/ajax-search,/studentfee/ajaxSearch,/studentfee
fees,core,Feesearch,query,GET,/studentfee/feesearch,/studentfee/feesearch,/studentfee/feesearch
fees,core,Get Student List By Type,query,GET,/studentfee/get-student-list-by-type,/studentfee/getStudentListByType,/studentfee/fee-summary-dashboard
fees,core,Print Fees By Name,query,GET,/studentfee/print-fees-by-name,/studentfee/printFeesByName,/studentfee/feereceipt
fees,core,Search,query,GET,/studentfee/search,/studentfee/search,/studentfee
fees,core,Searchpayment,query,GET,/studentfee/searchpayment,/studentfee/searchpayment,/studentfee/searchpayment
attendance,core,Attendence List Pdf,query,GET,/subjectattendence/attendence-list-pdf,/admin/subjectattendence/attendenceList_pdf,/subjectattendence
attendance,core,Get Roll Wise Student,query,GET,/subjectattendence/get-roll-wise-student,/admin/subjectattendence/get_roll_wise_student,/subjectattendence
attendance,core,Month Attendance View,query,GET,/subjectattendence/month-attendance-view,/admin/subjectattendence/month_attendance_view,/subjectattendence
examinations,core,View,query,GET,/admitcard/view,/admin/admitcard/view,/admitcard
examinations,core,Add Program,command,POST,/atkt-form/add-program,/admin/atkt_form/addProgram,/atkt-form/admissionsetting
examinations,core,Changeformfieldsetting,query,POST,/atkt-form/changeformfieldsetting,/admin/atkt_form/changeformfieldsetting,/atkt-form/admissionsetting
examinations,core,Checkpaymentstatus,query,POST,/atkt-form/checkpaymentstatus,/admin/atkt_form/checkpaymentstatus,/atkt-form/atkt-form-student
examinations,core,Closehomeworklist,query,GET,/atkt-form/closehomeworklist,/atkt_form/closehomeworklist,/atkt-form/atkt-form-report /atkt-form/edit-atkt-form-student
examinations,core,Delete Selected Students,command,DELETE,/atkt-form/delete-selected-students,/admin/atkt_form/delete_selected_students,/atkt-form/atkt-form-student
examinations,core,Delete Selected Subjects,command,DELETE,/atkt-form/delete-selected-subjects,/admin/atkt_form/delete_selected_subjects,/atkt-form/atkt-form-student
examinations,core,Delete Student Subject,command,DELETE,/atkt-form/delete-student-subject,/admin/atkt_form/delete_student_subject,/atkt-form/atkt-form-student
examinations,core,Dthomeworklist,query,GET,/atkt-form/dthomeworklist,/atkt_form/dthomeworklist,/atkt-form/atkt-form-report /atkt-form/edit-atkt-form-student
examinations,core,Get Current Class Marks,query,GET,/atkt-form/get-current-class-marks,/admin/atkt_form/get_current_class_marks,/atkt-form/edit-atkt-form-student
examinations,core,Get Program,query,GET,/atkt-form/get-program,/admin/atkt_form/getProgram,/atkt-form/admissionsetting
examinations,core,Getstudentlist,query,GET,/atkt-form/getstudentlist,/admin/atkt_form/getstudentlist,/atkt-form/atkt-form-student
examinations,core,Import ATKT File,command,POST,/atkt-form/import-atkt-file,/admin/atkt_form/importAtktFile,/atkt-form/atkt-form-student
examinations,core,Partly Payment Modal,query,POST,/atkt-form/partly-payment-modal,/admin/atkt_form/partly_payment_modal,/atkt-form/atkt-form-student
examinations,core,Update Result Generate Status,command,POST,/atkt-form/update-result-generate-status,/admin/atkt_form/update_result_generate_status,/atkt-form/atkt-form-student
examinations,core,Update Student Marks,command,POST,/atkt-form/update-student-marks,/admin/atkt_form/update_student_marks,/atkt-form/edit-atkt-form-student
examinations,core,Update ATKT Form Status,command,POST,/atkt/update-atkt-form-status,/atkt/updateAtktFormStatus,/atkt-form/atkt-form-student
examinations,core,Get Class And Department,query,GET,/exam-schedule/get-class-and-department,/admin/exam_schedule/getClassAndDepartment,/exam-schedule
examinations,core,Addfeegrp,command,POST,/examgroup/addfeegrp,/admin/examgroup/addfeegrp,/examgroup/exam-form
examinations,core,Addrevaluationfeegrp,command,POST,/examgroup/addrevaluationfeegrp,/admin/examgroup/addrevaluationfeegrp,/examgroup/revaluation-form
examinations,core,Check Entries,query,POST,/examgroup/check-entries,/admin/examgroup/checkEntries,/examgroup/exam-remuneration-bill
examinations,core,Copy Subject CO Fromoldtocurrent Session,query,POST,/examgroup/copy-subject-co-fromoldtocurrent-session,/admin/examgroup/copy_subject_co_fromoldtocurrent_session,/copo/course-outcomes
examinations,core,Create Remuneration,command,POST,/examgroup/create-remuneration,/admin/examgroup/create_remuneration,/examgroup/exam-remuneration-bill
examinations,core,Delete Exam Form,command,DELETE,/examgroup/delete-exam-form,/admin/examgroup/delete_exam_form,/examgroup/exam-form
examinations,core,Delete Revaluation Form,command,DELETE,/examgroup/delete-revaluation-form,/admin/examgroup/delete_revaluation_form,/examgroup/revaluation-form
examinations,core,Generate Exam Form Pdf,command,POST,/examgroup/generate-exam-form-pdf,/admin/examgroup/generate_exam_form_pdf,/examgroup/exam-form
examinations,core,Generate Revaluation Exam Form Pdf,command,POST,/examgroup/generate-revaluation-exam-form-pdf,/admin/examgroup/generate_revaluation_exam_form_pdf,/examgroup/revaluation-form
examinations,core,Get By Class And Semester,query,GET,/examgroup/get-by-class-and-semester,/admin/examgroup/getByClassAndSemester,/examgroup/exam-remuneration-bill
examinations,core,Get Class By Exam And Exam Group,query,GET,/examgroup/get-class-by-exam-and-exam-group,/admin/examgroup/getClassByExamAndExamGroup,/examresult/admitcard
examinations,core,Get Class By Examgroup,query,GET,/examgroup/get-class-by-examgroup,/admin/examgroup/getClassByExamgroup,/examgroup/displaymarksexamsubjwise /examgroup/mark-entry-single-subject /examgroup/mark-entry-subjectwise /outcome-basis-education
examinations,core,Get Exam By Exam Group Class Section,query,GET,/examgroup/get-exam-by-exam-group-class-section,/admin/examgroup/getExamByExamGroupClassSection,/examresult/admitcard
examinations,core,Get Exam By Exam Group Current Session,query,GET,/examgroup/get-exam-by-exam-group-current-session,/admin/examgroup/getExamByExamGroupCurrentSession,/student/assign-seat-number
examinations,core,Get Exam By Examgroup,query,GET,/examgroup/get-exam-by-examgroup,/admin/examgroup/getExamByExamgroup,/exam-schedule /examgroup/displaymarksexamsubjwise /examgroup/mark-entry-single-subject /exammarksheet/marksheet /examresult /examresult/admitcard /examresult/marksheet /paper-creation /seating-arrangement /seating-arrangement/assign-block
examinations,core,Get Exam Subject,query,GET,/examgroup/get-exam-subject,/admin/examgroup/getExamSubject,/examgroup/mark-entry-single-subject
examinations,core,Get Hours By Supervision,query,GET,/examgroup/get-hours-by-supervision,/admin/examgroup/getHoursBySupervision,/examgroup/exam-remuneration-bill
examinations,core,Get Rate By Marks,query,GET,/examgroup/get-rate-by-marks,/admin/examgroup/get_rate_by_marks,/examgroup/exam-remuneration-bill
examinations,core,Get Rate By Supervision And Hours,query,GET,/examgroup/get-rate-by-supervision-and-hours,/admin/examgroup/getRateBySupervisionAndHours,/examgroup/exam-remuneration-bill
examinations,core,Get Vertix By Subject,query,GET,/examgroup/get-vertix-by-subject,/admin/examgroup/get_vertix_by_subject,/examgroup/exam-remuneration-bill
examinations,core,Getcollectfee,query,GET,/examgroup/getcollectfee,/admin/examgroup/getcollectfee,/examgroup/exam-form /examgroup/revaluation-form
examinations,core,Getsubject By Examgroup,query,GET,/examgroup/getsubject-by-examgroup,/admin/examgroup/getsubjectByExamgroup,/examgroup/displaymarksexamsubjwise /examgroup/mark-entry-subjectwise
examinations,core,Markentrysubjectwise,query,POST,/examgroup/markentrysubjectwise,/admin/examgroup/markentrysubjectwise,/examgroup/mark-entry-subjectwise
examinations,core,Print Remuneration,query,GET,/examgroup/print-remuneration,/admin/examgroup/print_remuneration,/examgroup/exam-remuneration-bill
examinations,core,Sgpi Student List,query,GET,/examgroup/sgpi-student-list,/admin/examgroup/sgpi_student_list,/examgroup
examinations,core,Subject Marks Exportformat,query,GET,/examgroup/subject-marks-exportformat,/admin/examgroup/subject_marks_exportformat,/examgroup/mark-entry-single-subject
examinations,core,Subjectwise Uploadfile,command,POST,/examgroup/subjectwise-uploadfile,/admin/examgroup/subjectwise_uploadfile,/examgroup/mark-entry-subjectwise /outcome-basis-education
examinations,core,Upload Legacy Results,command,POST,/examgroup/upload-legacy-results,/admin/examgroup/uploadLegacyResults,/examgroup
examinations,core,Uploadfile,command,POST,/examgroup/uploadfile,/admin/examgroup/uploadfile,/examgroup/displaymarksexamsubjwise
examinations,core,Uploadfile Spgi,command,POST,/examgroup/uploadfile-spgi,/admin/examgroup/uploadfileSpgi,/examgroup
examinations,core,Uploadfilecsv,command,POST,/examgroup/uploadfilecsv,/admin/examgroup/uploadfilecsv,/examgroup/mark-entry-single-subject
examinations,core,Print Certificate,query,GET,/exammarksheet/print-certificate,/admin/exammarksheet/print_certificate,/exammarksheet/marksheet
examinations,core,Share Marksheet,query,POST,/exammarksheet/share-marksheet,/admin/exammarksheet/shareMarksheet,/exammarksheet/marksheet
examinations,core,View,query,GET,/exammarksheet/view,/admin/exammarksheet/view,/exammarksheet
examinations,core,Viewmarksheet,query,GET,/exammarksheet/viewmarksheet,/admin/exammarksheet/viewmarksheet,/exammarksheet/marksheet
examinations,core,Pdftmarksheet,query,GET,/examresult/pdftmarksheet,/admin/examresult/pdftmarksheet,/examresult/marksheet
examinations,core,Print Certificate,query,GET,/examresult/print-certificate,/admin/examresult/print_certificate,/examresult/marksheet
examinations,core,Save Exam Result Block Unblock,command,POST,/examresult/save-exam-result-block-unblock,/admin/examresult/save_exam_result_block_unblock,/examresult/exam-result-block-unblock
examinations,core,Share Marksheet,query,POST,/examresult/share-marksheet,/admin/examresult/shareMarksheet,/examresult/marksheet
examinations,core,Share Print Card,query,POST,/examresult/share-print-card,/admin/examresult/sharePrintCard,/examresult/admitcard
examinations,core,Viewmarksheet,query,GET,/examresult/viewmarksheet,/admin/examresult/viewmarksheet,/examresult/marksheet
examinations,core,View,query,GET,/marksheet/view,/admin/marksheet/view,/marksheet
examinations,core,Add,command,POST,/onlineexam/add,/admin/onlineexam/add,/onlineexam
examinations,core,Ajax Delete,command,DELETE,/onlineexam/ajax-delete,/admin/onlineexam/ajax_delete,/onlineexam
examinations,core,Delete Exam Questions,command,DELETE,/onlineexam/delete-exam-questions,/admin/onlineexam/deleteExamQuestions,/onlineexam
examinations,core,Download Exam,query,GET,/onlineexam/download-exam,/admin/onlineexam/download_exam,/onlineexam
examinations,core,Dtreportlist,query,GET,/onlineexam/dtreportlist,/admin/onlineexam/dtreportlist,/onlineexam/report
examinations,core,Get Exam Questions,query,GET,/onlineexam/get-exam-questions,/admin/onlineexam/getExamQuestions,/onlineexam
examinations,core,Get Online Exam By ID,query,GET,/onlineexam/get-online-exam-by-id,/admin/onlineexam/getOnlineExamByID,/onlineexam
examinations,core,Getclosedexamlist,query,GET,/onlineexam/getclosedexamlist,/admin/onlineexam/getclosedexamlist,/onlineexam
examinations,core,Getexamlist,query,GET,/onlineexam/getexamlist,/admin/onlineexam/getexamlist,/onlineexam
examinations,core,Getselectedexamsubjectname,query,GET,/onlineexam/getselectedexamsubjectname,/admin/onlineexam/getselectedexamsubjectname,/onlineexam
examinations,core,Getstudentresult,query,GET,/onlineexam/getstudentresult,/admin/onlineexam/getstudentresult,/onlineexam/report
examinations,core,Rankgenerate,query,POST,/onlineexam/rankgenerate,/admin/onlineexam/rankgenerate,/onlineexam
examinations,core,Search Question By Exam ID,query,GET,/onlineexam/search-question-by-exam-id,/admin/onlineexam/searchQuestionByExamID,/onlineexam
examinations,core,Searchloginvalidation,query,GET,/onlineexam/searchloginvalidation,/admin/onlineexam/searchloginvalidation,/onlineexam/report
examinations,core,Singlequestion Addupdate,command,POST,/onlineexam/singlequestion-addupdate,/admin/onlineexam/singlequestionAddupdate,/onlineexam
examinations,core,Add Subjectwise Question Paper,command,POST,/paper-creation/add-subjectwise-question-paper,/admin/paper_creation/addSubjectwiseQuestionPaper,/paper-creation
examinations,core,Assign Paper Creation,command,POST,/paper-creation/assign-paper-creation,/admin/paper_creation/assign_paper_creation,/paper-creation/assign-paper-creation
examinations,core,Edit Subjectwise Question Paper,command,POST,/paper-creation/edit-subjectwise-question-paper,/admin/paper_creation/editSubjectwiseQuestionPaper,/paper-creation
examinations,core,Generate Pdf Subjectwise Question Paper,query,GET,/paper-creation/generate-pdf-subjectwise-question-paper,/admin/paper_creation/generatePdfSubjectwiseQuestionPaper,/paper-creation /paper-creation/que-paper-approval-list
examinations,core,Get Question Paper Reviewer Staff List,query,GET,/paper-creation/get-question-paper-reviewer-staff-list,/admin/paper_creation/getQuestionPaperReviewerStaffList,/paper-creation/assign-paper-creation
examinations,core,Getassign Staff,command,POST,/paper-creation/getassign-staff,/admin/paper_creation/getassignStaff,/paper-creation/assign-paper-creation
examinations,core,Save Assign Staff,command,POST,/paper-creation/save-assign-staff,/admin/paper_creation/save_assign_staff,/paper-creation/assign-paper-creation
examinations,core,Save Question Paper Review Staff,command,POST,/paper-creation/save-question-paper-review-staff,/admin/paper_creation/saveQuestionPaperReviewStaff,/paper-creation/assign-paper-creation
examinations,core,Submit Questions,query,POST,/paper-creation/submit-questions,/admin/paper_creation/submit_questions,/paper-creation
examinations,core,Update Approval Status,command,POST,/paper-creation/update-approval-status,/admin/paper_creation/update_approval_status,/paper-creation
examinations,core,Update Paper Request,command,POST,/paper-creation/update-paper-request,/admin/paper_creation/update_paper_request,/paper-creation/que-paper-approval-list
examinations,core,Add,command,POST,/papersetting/add,/admin/papersetting/add,/papersetting
examinations,core,Addform,command,POST,/papersetting/addform,/admin/papersetting/addform,/papersetting
examinations,core,Bulkdelete,command,DELETE,/papersetting/bulkdelete,/admin/papersetting/bulkdelete,/papersetting
